Category,Key,Value,Extra,Comment
address,EqpyNyqXxp8i8LfbQ9rNQ7aNQ5Dt5gtMCWaGWoBS5z7U,Airdrop recipient,,
address,BBLY5DGfaFt38coA9etV9r6MGZQbz7H7ehP1Cb7Tmp1j,Airdrop recipient,,
address,GNELHvzDEinkFvWaSZyNveMAda5dPeeAdK2Txz91rp1b,Airdrop recipient,,
address,99KW6k3ZnHxYQ7zCgDpATJHi8Q5Wp62yRYQujSEE1C6j,Airdrop recipient,,
address,HdXLEa1zuHnT61cd5oJnySMq6zwm8p8u77eAn1CVmFC9,Airdrop recipient,,
address,5Z9WPgEuqH1KeuTHv2RKgHDkTaNf9GKdNYHTno4DpAt7,Airdrop recipient,,
address,7kErsAkfTWSgQhD2uS8HYwjazofNRnDCjit4zF3nM5Pu,Airdrop recipient,,
address,F4jkHUMDBdSVR7xFfPZifybNBgzNKTGaJP92FpfEkqGK,Airdrop recipient,,
address,HcKfokJudp8aAj5mttEFnTfgiBPAke3pme3boJpyuzXF,Airdrop recipient,,
address,CvYynK9E2R9XDB1rWNY6nUiUB54UaL4nbdG4YYibQs2c,Airdrop recipient,,
address,2tD86K9MKqXS8JXmenX12dD4AqbhYoy4eNuQtSusYSGm,Airdrop recipient,,
address,8AoDkxYfuPkSUm1FfnJW1YYh9prRfkoDFAYC3Ls3PRvX,Airdrop recipient,,
address,462Y9WfX6hSsgxVeLNNQNPmiK7q7aGCoGxX8Xe5NPCYF,Airdrop recipient,,
address,5iNvmfURSzSGEH5KXig2ZHRRWwdzjjEnNBnf8yK5dJau,Airdrop recipient,,
address,FxPchNQFD5BRYSBMkpX7RYfRdNJntWHe6qHGyFvj79hL,Airdrop recipient,,
address,AjASMUEjADf4j7VkXxFbWHEWLJwSgsixuokBoTKhVXbi,Airdrop recipient,,
address,9MUBf92gdxmDdiNg4ZnNkjT2yBhuzBK8m1ABb1PUiKse,Airdrop recipient,,
address,5TmLTzn5sXQsPF2gKZotiW4o32PWrJUUT69JZkVBoh5w,Airdrop recipient,,
address,Gp7tU8He8XfocdUKXfSWMac8uqnbhNjKGMRmWDXRKUjY,Airdrop recipient,,
address,EGGbfWVcYU8Ve9hQdv6LybppkPkjq2AhnmpDiKWunyTK,Airdrop recipient,,
address,D1Eyr1eZRzPDXtHrBLXEuBmCdvRKVVTBwJmncQhbQHCR,Airdrop recipient,,
address,5LWqHcC2pBbtXf1Sw6UzyggQfwLv63e1xK8zzEiocLxS,Airdrop recipient,,
address,3S2UYfPvo5G8wddD6ZpyCnaY7FtpyUYTN1634RQo3Rew,Airdrop recipient,,
address,5zkfyttz8GDDY6jVUurRuAsB44YFxDDpCH1AAEHMauC4,Airdrop recipient,,
address,7J6RNiBPpKETcWsunheyUeWwtLczm9iYKM32PSuMf1tG,Airdrop recipient,,
address,2jBqqehyhNt3ZnhexHvn4athJNHCGaazQtUaPqLvgQTE,Airdrop recipient,,
address,98fgmxnNbKQxco6bxHQNQNMbwCGpLVMUkPPiGimKCVUu,Airdrop recipient,,
address,9GMeamRDYYQQHmSQxpVV3HmAm5Gz9qbTcF1JCR1Rc9zf,Airdrop recipient,,
address,5XgtU2cqo8TcDKBCqiu9oG6DXHV7dzK2EwBN5cTQ6wk2,Airdrop recipient,,
address,4jHmTWM5qFn1HvoL1rc1iS5erAbRJuKqGBWa53PUDwiA,Airdrop recipient,,
